_id,No,Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat.,Lon.,Temperature,Rainfall,Holiday
230,230,2023-11-09,ลาดพร้าววังหิน - โชคชัย 4,ลาดพร้าววังหิน 79,219,73.0,0,0,9,2,1188,340.0,0,0,37,14,307.0,80,0,0,8,3,2280.0,13.82444538,100.5916745,30.275418149963684,16.876330823344897,0
231,231,2023-11-09,ลาดพร้าววังหิน - โชคชัย 4,โชคชัย 4,665,128.0,0,0,8,27,2236,850.0,0,0,65,124,663.0,191,0,0,9,39,5005.0,13.82444538,100.5916745,27.566747482826408,43.11462529103822,0
232,232,2023-11-10,กรุงเทพกรีฑา - ศรีนครินทร์ร่มเกล้า,ถนนกรุงเทพกรีฑา (NB),782,296.0,11,0,11,1,2612,1251.0,28,2,150,2,977.0,378,5,0,18,0,6524.0,13.74791713,100.6566814,25.505828040299146,44.09699726120667,0
233,233,2023-11-10,กรุงเทพกรีฑา - ศรีนครินทร์ร่มเกล้า,ซอยกรุงเทพกรีฑา 7,1051,347.0,0,0,17,2,4022,1863.0,0,0,49,7,1126.0,632,0,0,5,2,9123.0,13.74791713,100.6566814,25.767977110288776,29.28399184265501,0
234,234,2023-11-10,กรุงเทพกรีฑา - ศรีนครินทร์ร่มเกล้า,ถนนกรุงเทพกรีฑา (EB),4215,1677.0,25,0,64,7,14763,7087.0,54,0,696,16,4436.0,2102,12,0,79,1,35234.0,13.74791713,100.6566814,28.271681342621893,27.224397795324162,0
235,235,2023-11-10,กรุงเทพกรีฑา - ศรีนครินทร์ร่มเกล้า,ถนนศรีนครินทร์-ร่มเกล้า,5289,1495.0,16,1,90,2,11076,4271.0,26,0,689,7,3168.0,866,8,0,84,4,27092.0,13.74791713,100.6566814,30.38910859641095,2.5116504352342304,0
236,236,2023-11-13,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา 20,412,140.0,0,0,16,0,1554,636.0,1,0,67,14,480.0,151,0,0,12,0,3483.0,13.74150927,100.6825523,34.33666851831314,29.956321506737954,0
237,237,2023-11-13,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา 37,94,61.0,0,0,4,0,409,253.0,0,0,11,0,48.0,38,0,0,1,1,920.0,13.74150927,100.6825523,31.731397146523108,7.770384391581825,0
238,238,2023-11-13,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา,1365,533.0,12,0,25,9,4034,2434.0,49,0,123,25,850.0,463,15,0,21,3,9961.0,13.74150927,100.6825523,29.645607525257272,32.741423370072106,0
239,239,2023-11-14,ปากซอยเสรีไทย 23,เสรีไทย,4770,1587.0,62,23,15,5,13925,5682.0,293,119,532,24,3322.0,1145,65,20,19,7,31615.0,13.77710903,100.6623063,30.088133356925063,34.261767484690694,0
240,240,2023-11-14,หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์,561,202.0,0,0,7,1,1163,443.0,0,0,17,1,426.0,149,0,0,4,0,2974.0,13.78587214,100.6755823,34.21279116299445,28.55830151536449,0
241,241,2023-11-14,หมู่บ้านสหกรณ์,เสรีไทย,5201,1755.0,82,33,63,3,15786,7234.0,407,108,579,8,4527.0,1781,125,28,54,3,37777.0,13.78587214,100.6755823,30.46785927778722,18.32211383667775,0
242,242,2023-11-15,ลาดพร้าว - มหาดไทย ,มหาดไทย,334,79.0,0,0,0,0,1622,448.0,0,0,75,0,279.0,63,0,0,2,0,2902.0,13.77775508,100.6242245,31.69255010950352,11.777439759008562,0
243,243,2023-11-15,ลาดพร้าว - มหาดไทย ,ลาดพร้าว,3285,992.0,288,3,54,8,14416,5810.0,830,5,378,21,3146.0,1015,175,0,35,7,30468.0,13.77775508,100.6242245,28.846349364252706,30.471509418908138,0
244,244,2023-11-15,รามคำแหง - มหาดไทย,รามคำแหง 65,1574,530.0,0,0,3,37,6066,2045.0,0,0,22,141,1625.0,606,0,0,3,38,12690.0,13.76035324,100.6244883,34.58306681459342,13.615210616291234,0
245,245,2023-11-15,รามคำแหง - มหาดไทย,รามคำแหง,4962,1058.0,135,22,72,58,16804,5053.0,676,55,299,117,4476.0,1307,163,22,31,42,35352.0,13.76035324,100.6244883,27.8773419898371,39.60699762536451,0
246,246,2023-11-16,ศูนย์วิจัย - เพชรบุรี,ศูนย์วิจัย,478,206.0,5,0,12,2,1620,700.0,11,0,21,8,352.0,155,0,0,1,0,3571.0,13.74478365,100.5847263,33.703000671854916,41.15687678923489,0
247,247,2023-11-16,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,4184,1233.0,168,5,47,26,17387,6669.0,564,4,468,149,6083.0,1572,90,3,44,10,38706.0,13.74478365,100.5847263,26.53670475651999,37.169536482878804,0
248,248,2023-11-17,ใต้ด่วนสุรวงศ์,เลียบใต้ทางด่วนศรีรัช,1751,417.0,6,0,16,9,6910,2102.0,34,0,70,48,1421.0,438,11,0,15,12,13260.0,13.725563,100.5173654,26.140748043164923,31.952334994741694,0
249,249,2023-11-17,ใต้ด่วนสุรวงศ์,ถนนสุรวงศ์,1879,399.0,79,16,19,78,7739,2241.0,244,106,115,611,2288.0,1041,101,42,65,190,17253.0,13.725563,100.5173654,32.324386262327536,25.37252169693597,0
250,250,2023-11-17,สุรวงศ์,เจริญกรุง,2088,331.0,23,28,9,85,5485,1754.0,136,107,125,323,1467.0,460,40,25,24,31,12541.0,13.72541408,100.5162408,29.098187523592962,0.36147871959345546,0
251,251,2023-11-17,สุรวงศ์,สุรวงศ์,1871,542.0,54,13,5,73,6512,1872.0,281,106,175,491,1398.0,385,106,42,24,231,14181.0,13.72541408,100.5162408,25.563001091106837,3.419187133727497,0
252,252,2023-11-20,ด่วนสาธุ,สาธุประดิษฐ์,3168,685.0,14,0,20,20,9043,3347.0,62,0,112,56,2844.0,1206,18,0,12,14,20621.0,13.695257,100.532998,25.86348433948456,29.464637923712267,0
253,253,2023-11-20,ด่วนสาธุ,รัชดาภิเษก,9301,2169.0,106,6,48,28,32089,10161.0,546,26,1022,177,8921.0,2695,152,6,140,31,67624.0,13.695257,100.532998,25.003640320403267,44.62896046928801,0
254,254,2023-11-21,คลองเตย,สุนทรโกษา,1518,379.0,29,9,12,12,3803,1440.0,151,34,37,41,726.0,150,48,9,9,10,8417.0,13.72086813,100.5575753,26.438209029769247,20.924286342245217,0
255,255,2023-11-21,คลองเตย,พระรามที่ 4,3708,1154.0,99,7,111,101,18642,7042.0,417,28,388,361,4354.0,1461,63,3,32,99,38070.0,13.72086813,100.5575753,32.44769417052257,24.628343798359055,0
256,256,2023-11-22,จปร.,ถนนราชดำเนินนอก,2753,868.4,38,1,30,35,11279,4013.0,167,0,234,136,4683.0,1061,37,0,24,12,25371.4,13.759962,100.507669,26.291093437946852,40.688909602669376,0
257,257,2023-11-22,จปร.,ถนนวิสุทธิกษัตริย์,3032,639.0,6,0,12,12,7353,2860.0,48,1,95,60,1201.0,557,5,0,10,5,15896.0,13.759962,100.507669,33.15699306761715,2.78274084949694,0
258,258,2023-11-22,จปร.,ถนนจักรพรรดิพงษ์,1302,314.0,1,0,5,11,4139,2132.0,2,0,33,41,1379.0,327,0,0,4,13,9703.0,13.759962,100.507669,34.08696831435518,20.422346198977387,0
259,259,2023-11-23,ราชวิถี,พระรามที่ 5,3517,649.0,17,0,31,23,9201,3031.0,49,2,206,172,2486.0,553,13,0,15,30,19995.0,13.773841,100.519036,32.56025997334095,21.899981402595614,0
260,260,2023-11-23,ราชวิถี,ราชวิถี,1246,376.0,77,0,12,3,4809,2039.0,297,1,159,19,1351.0,654,88,0,12,6,11149.0,13.773841,100.519036,34.73444100614829,44.521960200624214,0
261,261,2023-11-24,รัชดา - สุทธิสาร,รัชดาภิเษก,10259,2386.0,143,0,94,32,31124,10345.0,659,5,871,150,8939.0,2642,134,0,64,18,67865.0,13.7898728,100.5741353,25.505885185398782,19.14243160329077,0
262,262,2023-11-24,รัชดา - สุทธิสาร,สุทธิสารวินิจฉัย,1893,418.0,0,0,7,13,6892,2421.0,2,0,96,76,1643.0,628,0,0,13,28,14130.0,13.7898728,100.5741353,30.401780868821184,35.409411365420645,0
263,263,2023-11-27,สุโขทัย,พระรามที่ 5,2897,593.0,20,1,17,36,7264,2078.0,78,0,89,114,2726.0,431,15,0,17,45,16421.0,13.776606,100.520704,29.09050164233983,2.0953526044015347,0
264,264,2023-11-27,สุโขทัย,สุโขทัย,2480,429.0,48,15,16,24,7779,2169.0,146,69,109,95,2018.0,604,65,20,14,7,16107.0,13.776606,100.520704,26.758430558928232,7.698189436343,0
265,265,2023-11-28,อังรีดูนังต์,สุรวงศ์,1204,181.0,6,0,6,9,3944,915.0,33,0,31,60,1053.0,140,8,0,3,14,7607.0,13.730903,100.533651,25.083525817405537,23.83471454470038,0
266,266,2023-11-28,อังรีดูนังต์,อังรีดูนังต์,2218,511.0,6,3,5,29,7493,2437.0,36,10,49,154,1804.0,615,4,2,4,19,15399.0,13.730903,100.533651,30.354617263332948,34.26568305035483,0
267,267,2023-11-28,อังรีดูนังต์,พระรามที่ 4,7007,1498.0,128,3,68,82,24328,5757.0,616,10,326,364,5334.0,1223,135,5,43,64,46991.0,13.730903,100.533651,25.416415163419558,34.014582490123075,0
268,268,2023-11-29,บางรัก,เจริญกรุง,2441,518.0,81,35,17,82,5938,1845.0,315,158,99,456,1665.0,384,80,36,5,105,14260.0,13.722242,100.516645,29.532675757620453,31.31550804396972,0
269,269,2023-11-29,บางรัก,เจริญกรุง 42,78,33.0,0,0,0,5,74,27.0,0,0,0,23,12.0,7,0,0,0,7,266.0,13.722242,100.516645,33.49565877449115,38.968702192467894,0
270,270,2023-11-29,บางรัก,สีลม,1111,255.0,29,6,7,13,4405,1204.0,132,16,63,152,996.0,249,25,8,3,35,8709.0,13.722242,100.516645,28.76087177500999,30.13652760232578,0
271,271,2023-11-30,เกษะโกมล,พระรามที่ 5,3106,824.0,28,2,13,25,9471,2889.0,108,0,140,94,2403.0,637,31,0,26,25,19822.0,13.783405,100.524399,31.816763072661832,11.329859920651542,0
272,272,2023-11-30,เกษะโกมล,อำนวยสงคราม,915,146.0,15,0,12,6,2246,634.0,48,0,56,51,482.0,198,12,0,6,5,4832.0,13.783405,100.524399,26.070893671605045,47.68242955142444,0
273,273,2023-11-30,เกษะโกมล,เศรษฐศิริ,967,126.0,2,0,5,7,2037,545.0,14,4,32,14,536.0,136,2,0,5,3,4435.0,13.783405,100.524399,33.38082714887882,3.0631842661015707,0
274,274,2023-03-01,การเรือน,นครราชสีมา,2710,441.0,119,33,16,34,8369,2410.0,531,153,141,132,2230.0,454,106,26,16,20,17941.0,13.777762,100.511588,27.50563852269815,20.288099145424056,0
275,275,2023-03-01,การเรือน,ราชวิถี,1482,341.0,150,1,15,9,6179,1761.0,535,4,162,45,893.0,271,140,1,9,1,11999.0,13.777762,100.511588,26.133450899139515,25.60138155653681,0
276,276,2023-03-02,เจริญราษฎร์,เจริญราษฎร์,2036,481.0,3,1,32,18,7038,2361.0,16,3,292,87,2365.0,591,7,1,52,39,15423.0,13.689879,100.509424,28.849808707619065,24.570490244946463,0
277,277,2023-03-02,เจริญราษฎร์,พระรามที่ 3,10560,2721.0,167,0,170,70,33402,14468.0,661,10,2571,223,6850.0,2233,122,2,218,33,74481.0,13.689879,100.509424,25.712987899443302,2.4427165314751975,0
278,278,2023-03-03,กำแพงเพชร,พหลโยธิน,7151,1628.0,380,36,45,52,31233,8057.0,1197,187,341,251,9191.0,1950,261,49,32,88,62129.0,13.79791736,100.5510587,32.368986541455065,3.2164511327511414,0
279,279,2023-03-03,กำแพงเพชร,กำแพงเพชร,2962,494.0,107,25,27,26,9891,2453.0,443,73,97,97,2128.0,453,96,9,8,21,19410.0,13.79791736,100.5510587,33.287968760947095,46.95555399840959,0
280,280,2023-03-03,กำแพงเพชร,พหลโยธิน 18,363,36.0,0,0,0,19,507,151.0,0,0,5,99,258.0,44,0,0,0,18,1500.0,13.79791736,100.5510587,26.95045316457606,30.72121647115574,0
281,281,2023-03-07,ประชาสงเคราะห์,ประชาสงเคราะห์,1784,443.0,69,22,13,39,6392,2702.0,178,69,198,249,1609.0,654,25,6,17,50,14519.0,13.76052306,100.55493,33.131026026696844,3.5768010612370835,0
282,282,2023-03-07,ประชาสงเคราะห์,ดินแดง,3271,1295.0,66,21,87,44,12953,5437.0,316,84,906,128,3703.0,1011,64,24,54,30,29494.0,13.76052306,100.55493,33.732770809616255,48.19713956526158,0
283,283,2023-03-07,ประชาสงเคราะห์,อโศกดินแดง,3620,1007.0,60,2,109,2,13528,4968.0,232,17,642,14,2623.0,871,34,5,47,6,27787.0,13.76052306,100.55493,34.35707658267742,35.18635274005375,0
284,284,2023-03-08,เลียบทางรถไฟสายใต้ - เอราวัณ ปาร์ค อเวนิว,เอราวัณ ปาร์ค อเวนิว,323,98.0,4,0,3,1,517,230.0,3,0,19,5,147.0,62,0,0,1,0,1413.0,13.77284514,100.4602143,27.902596565303437,37.7504010471951,0
285,285,2023-03-08,เลียบทางรถไฟสายใต้ - เอราวัณ ปาร์ค อเวนิว,เลียบทางรถไฟสายใต้,1257,314.0,2,0,12,24,4397,1189.0,14,0,91,43,1762.0,432,3,0,9,12,9561.0,13.77284514,100.4602143,26.096164741592208,17.774470990689107,0
286,286,2023-03-09,วัดสิงห์,เอกชัย 36,776,286.0,4,0,17,12,2860,1314.0,12,0,91,65,648.0,299,4,0,11,8,6407.0,13.68513166,100.4457443,28.48871222980702,9.923781102558266,0
287,287,2023-03-09,วัดสิงห์,เอกชัย,1783,871.0,15,0,38,433,6903,4185.0,69,0,523,1207,1631.0,860,22,0,49,399,18988.0,13.68513166,100.4457443,27.648782392191176,18.51650773269767,0
288,288,2023-03-09,เข้าออกกำนันแม้น,เอกชัย 36,1900,764.0,8,0,39,18,6158,3344.0,42,1,275,100,1801.0,770,12,0,19,18,15269.0,13.69429339,100.4374639,31.806978276800727,49.74663611065369,0
289,289,2023-03-10,เอกชัย 69/1,เอกชัย 69/1,4,1.0,0,0,0,0,13,14.0,0,0,0,0,4.0,2,0,0,0,0,38.0,13.67836764,100.4337778,28.30333942406602,48.51976724754363,0
290,290,2023-03-10,เอกชัย 69/1,เอกชัย,1894,2357.0,18,0,47,433,9124,6935.0,62,0,502,1404,2493.0,1805,20,0,38,302,27434.0,13.67836764,100.4337778,33.97227622304743,2.0258622637739974,0
291,291,2023-03-10,เอกชัย 89/9,เอกชัย 89/9,3,6.0,0,0,0,0,14,18.0,0,0,1,0,3.0,2,0,0,0,0,47.0,13.66607913,100.4113492,29.357291851596585,36.48791501767572,0
292,292,2023-03-10,เอกชัย 89/9,เอกชัย,5622,3325.0,15,0,134,510,22015,11777.0,32,0,912,1783,5579.0,2800,10,0,137,463,55114.0,13.66607913,100.4113492,32.32386743567904,24.93349176167473,0
293,293,2023-03-10,พระรามที่ 2 ซอย 20,พระรามที่ 2 ซอย 20,64,30.0,0,0,9,0,167,172.0,0,0,44,0,49.0,45,0,0,4,0,584.0,13.67991064,100.4688638,26.659122809444515,49.52303349664856,0
294,294,2023-03-10,พระรามที่ 2 ซอย 20,พระรามที่ 2,2711,1063.0,204,2,83,26,7009,3723.0,545,1,423,47,1282.0,1030,135,1,79,10,18374.0,13.67991064,100.4688638,26.900519636085335,22.369115225492724,0
295,295,2023-03-10,พระรามที่ 2 ซอย 28,พระรามที่ 2 ซอย 28,407,179.0,0,0,0,1,1684,1017.0,0,0,24,6,566.0,267,0,0,2,0,4153.0,13.67830331,100.4651102,31.674932900671156,45.823278735050806,0
296,296,2023-03-10,พระรามที่ 2 ซอย 28,พระรามที่ 2 ,2876,960.0,144,1,38,30,10727,4406.0,541,4,260,142,2359.0,1135,107,1,39,23,23793.0,13.67830331,100.4651102,30.277293376512837,25.681259937220446,0
297,297,2023-03-13,นวมินทร์ - แฮปปี้แลนด์,นวมินทร์,2840,762.0,159,9,31,23,11038,3311.0,613,71,295,50,2254.0,639,96,15,29,7,22242.0,13.78057545,100.6451746,25.576046301497406,22.56315917354484,0
298,298,2023-03-13,นวมินทร์ - แฮปปี้แลนด์,แฮปปี้แลนด์,652,270.0,13,0,4,0,2744,954.0,102,1,17,5,1049.0,247,15,1,6,0,6080.0,13.78057545,100.6451746,31.865769190002094,20.927847624567043,0
299,299,2023-03-14,ศรีนครินทร์ - ศรีนครินทร์ 38,ศรีนครินทร์,7522,2988.0,115,10,136,5,27768,11425.0,374,49,915,20,7845.0,2512,85,4,85,3,61861.0,13.70048219,100.6465294,32.253889169598466,47.10599150009146,0
300,300,2023-03-14,ศรีนครินทร์ - ศรีนครินทร์ 38,ศรีนครินทร์ 38,246,115.0,0,0,1,0,544,278.0,0,0,2,0,118.0,40,0,0,0,0,1344.0,13.70048219,100.6465294,32.1079224686623,20.32435804286527,0
301,301,2023-03-14,ศรีนครินทร์ 38 - อ่อนนุช 46,อ่อนนุช 46,351,126.0,0,0,2,0,1256,556.0,0,0,21,0,484.0,220,0,0,0,1,3017.0,13.698544,100.6384363,26.01900912564351,6.790310645136316,0
302,302,2023-03-14,ศรีนครินทร์ 38 - อ่อนนุช 46,ศรีนครินทร์ 38,295,143.0,0,0,1,3,1506,666.0,0,0,14,3,651.0,280,0,0,3,0,3565.0,13.698544,100.6384363,31.065114466529046,49.499563839121166,0
303,303,2023-03-20,ทางข้ามใกล้คลองวัดยาง,จรัญสนิทวงศ์,4190,965.0,156,2,45,98,16549,5109.0,538,8,335,392,4612.0,1322,154,3,32,156,34666.0,13.75144912,100.4697876,31.757017782197025,39.99164707385441,0
304,304,2023-03-20,พาณิชยการธนบุรี,จรัญสนิทวงศ์,3754,889.0,145,6,47,136,16915,5687.0,512,15,309,508,5209.0,1384,143,3,49,158,35869.0,13.74139726,100.4705767,26.6205378325768,1.56068262439078,0
305,305,2023-03-20,พาณิชยการธนบุรี,จรัญสนิทวงศ์ 13,881,229.0,0,0,2,4,2594,819.0,0,0,10,13,602.0,142,0,0,4,4,5304.0,13.74139726,100.4705767,26.216288656455422,30.48814263253711,0
306,306,2023-03-21,โชคชัย 4,ลาดพร้าว 58,9,7.0,0,0,0,0,44,32.0,0,0,0,0,12.0,10,0,0,0,0,114.0,13.79485561,100.5937551,30.35752672745337,6.51425627073502,0
307,307,2023-03-21,โชคชัย 4,ลาดพร้าว 53/1,774,156.0,3,0,2,3,1612,561.0,3,0,15,23,349.0,49,0,0,1,4,3555.0,13.79485561,100.5937551,28.79667209228196,36.9786562940891,0
308,308,2023-03-21,โชคชัย 4,ลาดพร้าว,3083,763.0,261,1,19,62,11676,4477.0,1021,5,222,183,2488.0,815,196,1,29,20,25322.0,13.79485561,100.5937551,28.80691384679215,28.023628122883075,0
309,309,2023-03-22,สุขุมวิท 49 - สุขุมวิท 32,สุขุมวิท 32,1,1.0,0,0,0,0,5,6.0,0,0,0,1,11.0,9,0,0,0,0,34.0,13.72647313,100.5753842,29.600885920250512,8.267462157573064,0
310,310,2023-03-22,สุขุมวิท 49 - สุขุมวิท 32,สุขุมวิท 49,290,77.0,0,0,1,3,1209,340.0,0,0,10,9,247.0,60,0,0,2,3,2251.0,13.72647313,100.5753842,25.850261377310108,7.279490126021216,0
311,311,2023-03-22,สุขุมวิท 49 - สุขุมวิท 32,สุขุมวิท,4824,1347.0,140,4,46,55,17882,5365.0,607,35,240,389,4621.0,1160,132,4,35,84,36970.0,13.72647313,100.5753842,29.113908209969352,34.3481554253814,0
312,312,2023-03-23,นิด้า,ศรีบูรพา,2529,791.0,59,0,20,8,9352,3057.0,301,2,110,28,2273.0,719,82,0,16,3,19350.0,13.77274624,100.6545691,30.26171474317545,20.122382323642668,0
313,313,2023-03-23,นิด้า,เสรีไทย,2821,1100.0,109,29,42,9,10349,4692.0,540,64,292,65,2585.0,1027,135,22,19,9,23909.0,13.77274624,100.6545691,29.83331834692396,13.963686780240803,0
314,314,2023-03-24,ถนนตก,เจริญกรุง,1619,538.0,69,46,41,37,6507,2197.0,256,141,222,154,1889.0,562,78,31,35,52,14474.0,13.69720124,100.4970017,30.214920140666855,10.86378273769824,0
315,315,2023-03-24,ถนนตก,พระรามที่ 3,5129,1441.0,117,9,65,59,19898,6061.0,462,28,427,392,4877.0,1311,96,2,50,82,40506.0,13.69720124,100.4970017,31.736538239843014,7.73514504881595,0
316,316,2023-03-27,เอกชัย - กาญจนาภิเษก,กาญจนาภิเษก,10234,8106.0,59,9,2537,36,36965,36559.0,175,30,18117,75,13467.0,9237,47,9,3150,8,138820.0,13.66253348,100.4052034,28.98634206493055,4.731114660844127,0
317,317,2023-03-27,เอกชัย - กาญจนาภิเษก,เอกชัย,4261,2354.0,8,0,230,104,16172,13920.0,32,0,2803,340,5379.0,3079,12,0,307,91,49092.0,13.66253348,100.4052034,31.534089577641318,46.78727186712303,0
318,318,2023-03-28,ห้วยขวาง,รัชดาภิเษก,11096,1600.0,77,0,54,38,38038,9410.0,334,1,674,128,10221.0,2420,82,1,88,39,74301.0,13.7784566,100.5736377,34.95945398009758,47.79032436391504,0
319,319,2023-03-28,ห้วยขวาง,ประชาสงเคราะห์,677,179.0,21,0,36,51,2576,837.0,111,0,96,134,769.0,220,15,0,20,28,5770.0,13.7784566,100.5736377,27.240636462260817,10.401806832871335,0
320,320,2023-03-28,ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,1690,389.0,5,0,26,22,5408,1203.0,8,0,184,91,879.0,230,0,0,15,24,10174.0,13.7784566,100.5736377,29.295707633533702,25.109975894489132,0
321,321,2023-03-29,ประชาราษฎร์บำเพ็ญ - ประชาอุทิศ,ประชาอุทิศ,903,138.0,0,0,18,8,2200,495.0,0,1,70,37,445.0,111,0,0,13,1,4440.0,13.77720575,100.5799035,31.03052008893566,28.525005946625193,0
322,322,2023-03-29,ประชาราษฎร์บำเพ็ญ - ประชาอุทิศ,ประชาราษฎร์บำเพ็ญ (SB),861,122.0,0,0,13,7,2690,862.0,0,0,56,49,510.0,157,0,0,18,10,5355.0,13.77720575,100.5799035,33.77831025056367,21.70330556642291,0
323,323,2023-03-29,ประชาราษฎร์บำเพ็ญ - ประชาอุทิศ,ประชาราษฎร์บำเพ็ญ (EB),488,164.0,0,0,31,18,1853,730.0,0,0,155,54,683.0,142,0,0,25,16,4359.0,13.77720575,100.5799035,25.306102988135944,46.0857758758981,0
324,324,2023-03-30,หนองแขม,เพชรเกษม 81,1719,965.0,12,5,26,8,6923,4316.0,43,6,246,55,1778.0,973,8,1,68,6,17158.0,13.67831904,100.3453223,29.38201715320489,46.05488066550607,0
325,325,2023-03-30,หนองแขม,เลียบคลองภาษีเจริญฝั่งใต้,563,340.0,6,0,9,3,2121,1266.0,18,1,67,16,403.0,261,5,1,10,4,5094.0,13.67831904,100.3453223,31.16106844733764,0.68646583641368,0
326,326,2023-03-31,เลียบคลองภาษีเจริญฝั่งเหนือ - เพชรเกษม 81,เพชรเกษม 81,1847,978.0,26,0,85,32,6351,3898.0,106,0,664,83,1830.0,1063,27,0,106,32,17128.0,13.68110266,100.3445286,27.902021208803376,21.61131439486915,0
327,327,2023-03-31,เลียบคลองภาษีเจริญฝั่งเหนือ - เพชรเกษม 81,เลียบคลองภาษีเจริญฝั่งเหนือ,1153,632.0,15,0,115,16,3599,2742.0,63,0,466,49,983.0,672,14,0,99,15,10633.0,13.68110266,100.3445286,34.381757108670854,16.544592420554334,0
328,328,2023-10-02,ค.ป.อ.,พหลโยธิน,4391,1596.0,177,16,51,4,16750,6848.0,619,53,892,26,4279.0,1784,148,12,107,6,37759.0,13.9235385,100.6250562,31.494210133827153,1.9451600889049903,0
329,329,2023-10-02,ค.ป.อ.,ธูปเตมีย์,1638,442.0,3,0,2,1,4841,1151.0,5,0,15,1,1058.0,242,0,0,2,0,9401.0,13.9235385,100.6250562,26.805239436573448,32.427269294426715,0
330,330,2023-10-02,ค.ป.อ.,จันทรุเบกษา,3002,640.0,6,3,9,1,7526,2685.0,18,9,129,5,1907.0,775,5,1,12,1,16734.0,13.9235385,100.6250562,30.738126491214626,36.814454358703955,0
331,331,2023-10-03,ฤทธิยะวรรณาลัย,พหลโยธิน,2911,1043.0,178,4,11,7,10809,4737.0,546,19,67,17,2711.0,1144,141,4,13,6,24368.0,13.915667,100.620442,32.29612547646858,42.44286372687686,0
332,332,2023-10-03,ฤทธิยะวรรณาลัย,ทางเข้าออกอากาศโยธิน,433,137.0,0,0,0,0,1044,335.0,0,0,1,0,201.0,60,0,0,1,0,2212.0,13.915667,100.620442,25.37259210855241,41.07516060413234,0
333,333,2023-10-03,ฤทธิยะวรรณาลัย,ช่องทางท่าดินแดง 5,744,181.0,0,0,0,0,2059,425.0,0,0,3,0,829.0,221,0,0,0,0,4462.0,13.915667,100.620442,25.596493566614043,0.16674479102246065,0
334,334,2023-10-04,ประเสริฐมนูกิจ 29,มัยลาภ,59,24.0,0,0,0,0,371,93.0,0,0,3,0,141.0,45,0,0,0,0,736.0,13.8320385,100.6132028,26.013913557689577,0.7638411776247023,0
335,335,2023-10-04,ประเสริฐมนูกิจ 29,ประเสริฐมนูกิจ 29,643,271.0,1,0,8,0,2325,1082.0,17,0,49,0,652.0,243,2,0,5,0,5298.0,13.8320385,100.6132028,27.933923427362874,23.078978236924947,0
336,336,2023-10-04,ประเสริฐมนูกิจ 29,ประเสริฐมนูกิจ,8740,2395.0,39,0,95,3,29923,11599.0,181,0,1488,8,7205.0,2527,49,0,169,4,64425.0,13.8320385,100.6132028,32.01063049197984,11.18823126003603,0
337,337,2023-10-05,ปากซอยประชาชื่น 37,ประชาชื่น,2095,517.0,15,0,13,9,10147,3284.0,101,1,138,63,2398.0,787,24,0,19,13,19624.0,13.84083609,100.5414099,27.69765528610499,0.48009257489828316,0
338,338,2023-10-05,หน้าโรงเรียนอนุบาลแสงโสม,ประชาชื่น,3669,691.0,45,0,41,5,14415,3713.0,201,1,258,13,3236.0,847,43,0,30,3,27211.0,13.83580765,100.5402359,27.987278552525375,15.856554917432103,0
339,339,2023-10-05,หน้าตลาดบองมาเช่,เทศบาลสงเคราะห์,2521,509.0,5,0,74,2,10133,2704.0,32,0,282,31,2606.0,958,9,0,34,16,19916.0,13.83970998,100.5507624,26.539183985569316,27.167941233258965,0
340,340,2023-10-06,ปากซอยประชาชื่น 29,ประชาชื่น,2558,717.0,57,0,6,5,8980,3285.0,200,1,183,35,2625.0,921,56,0,29,8,19666.0,13.82731749,100.5382213,32.88964608739827,2.461065857346856,0
341,341,2023-10-06,หน้าอาคารสุขประพฤติ,ประชาชื่น,3037,506.0,51,0,8,17,10630,2852.0,120,0,48,128,2702.0,570,27,0,10,26,20732.0,13.81471602,100.5352925,29.34551081315144,20.502968217108485,0
342,342,2023-10-06,หน้าคอนโด เมโทร สกาย,ประชาชื่น,3110,560.0,47,0,30,12,9972,3049.7,161,0,291,58,2492.0,737,49,0,17,21,20606.7,13.82221063,100.5370607,31.962124842495314,15.343125262026208,0
343,343,2023-10-09,ผ่านฟ้าลีลาศ,บริพัตร,5,6.0,0,0,1,3,82,29.0,0,0,5,16,11.0,8,0,0,1,6,173.0,13.756331,100.505903,26.571904232734386,39.820387818005756,0
344,344,2023-10-09,ผ่านฟ้าลีลาศ,ราชดำเนินกลาง,4575,839.0,92,1,25,38,14766,3671.0,448,0,117,271,3729.0,892,119,0,5,87,29675.0,13.756331,100.505903,30.955932651835,11.210660624998459,0
345,345,2023-10-09,ผ่านฟ้าลีลาศ,ปรินายก,18,4.0,0,0,0,3,59,15.0,0,0,0,6,17.0,3,0,0,0,0,125.0,13.756331,100.505903,34.68884599167092,8.233130982702292,0
